# FPS: 240.0
Frame,Time(s),DisplacementX(px),DisplacementZ(px)
155,0.6458333,-0.28347778,3.819809
156,0.65,-0.062072754,3.690979
157,0.65416664,0.30514526,0.30348206
158,0.65833336,0.21917725,0.30822754
159,0.6625,0.0977478,-2.425705
160,0.6666667,0.056365967,-2.421051
161,0.67083335,0.07998657,-2.927887
162,0.675,-0.1237793,-3.0535126
163,0.6791667,-0.021026611,-2.573883
164,0.68333334,-0.14685059,-1.2149963
165,0.6875,-0.35238647,0.72369385
166,0.69166666,-0.26745605,2.7292023
167,0.6958333,-0.09753418,3.9143066
168,0.7,0.37683105,3.690445
169,0.70416665,0.06863403,2.2317963
170,0.7083333,0.019439697,0.2590332
171,0.7125,0.05505371,-1.313034
172,0.71666664,0.15838623,-2.964798
173,0.72083336,0.16043091,-2.9378357
174,0.725,0.015136719,-2.5296478
175,0.7291667,0.011352539,-2.536209
176,0.73333335,-0.2244873,0.7568512
177,0.7375,-0.27893066,0.77308655
178,0.7416667,-0.16140747,2.6939545
179,0.74583334,-0.07247925,3.6456146
180,0.75,-0.04058838,3.541214
181,0.75416666,0.16043091,2.1172028
182,0.7583333,0.21340942,0.20306396
183,0.7625,0.28988647,-1.5145874
184,0.76666665,0.106658936,-2.488449
185,0.7708333,0.12719727,-2.86792
186,0.775,0.061309814,-2.8911743
187,0.77916664,-0.09542847,-2.4521637
188,0.78333336,-0.15286255,-1.1645966
189,0.7875,-0.15737915,-1.047409
190,0.7916667,-0.27111816,2.9450226
191,0.79583335,-0.10134888,3.8108978
192,0.8,0.022277832,3.5849457
193,0.8041667,-0.18533325,2.1081238
194,0.80833334,0.13400269,0.19233704
195,0.8125,0.12664795,-1.5670929
196,0.81666666,0.35961914,-2.5480347
197,0.8208333,-0.14868164,-2.9022675
198,0.825,-0.13973999,-2.9502258
199,0.82916665,-9.460449E-4,-2.441986
200,0.8333333,-0.22433472,-1.1144257
201,0.8375,-0.35153198,0.91889954
202,0.84166664,-0.36898804,2.7858887
203,0.84583336,-0.2796631,3.8458252
204,0.85,-0.32800293,2.0124207
205,0.8541667,-0.31289673,2.0174713
206,0.85833335,0.21395874,-1.6395416
207,0.8625,0.22363281,-1.6492004
208,0.8666667,0.3005371,-2.5934753
209,0.87083334,0.184021,-2.8892975
210,0.875,-0.069610596,-2.9502563
211,0.87916666,-0.08456421,-2.4029083
212,0.8833333,-0.25003052,-1.0601044
213,0.8875,-0.3038025,0.9884491
214,0.89166665,-0.13369751,2.9860687
215,0.8958333,-0.2640686,3.7753143
216,0.9,0.09109497,3.3598938
217,0.90416664,0.1408081,1.8200531
218,0.90833336,0.055023193,0.022399902
219,0.9125,0.057739258,-1.7163544
220,0.9166667,-0.017425537,-3.0351257
221,0.92083335,0.121520996,-3.025299
222,0.925,0.13137817,-2.9911041
223,0.9291667,0.1572876,-2.3746338
224,0.93333334,-0.25354004,-1.0186615
225,0.9375,-0.14663696,1.0336151
226,0.94166666,-0.26437378,3.8500366
227,0.9458333,-0.2506714,3.849411
228,0.95,-0.06539917,3.351654
229,0.95416665,-0.03930664,1.7322845
230,0.9583333,0.061553955,-0.095687866
231,0.9625,0.19064331,-1.7917938
232,0.96666664,0.107055664,-2.7398987
233,0.97083336,0.015655518,-3.0401611
234,0.975,-0.10046387,-2.993927
235,0.9791667,-0.29852295,-1.0185852
236,0.98333335,-0.4317627,-0.9851837
237,0.9875,-0.30273438,1.1052094
238,0.9916667,-0.15927124,3.091629
239,0.99583334,-0.11437988,3.7935028
240,1.0,0.09207153,3.222107
241,1.0041667,0.16531372,1.5697174
242,1.0083333,-0.016296387,-0.13261414
243,1.0125,0.03012085,-1.7553711
244,1.0166667,0.12768555,-2.7201385
245,1.0208334,0.17959595,-2.8379517
246,1.025,-0.068847656,-2.85849
247,1.0291667,-0.037872314,-2.2447815
248,1.0333333,-0.004119873,-0.8332062
249,1.0375,0.17721558,3.2240448
250,1.0416666,0.17721558,3.2240448
251,1.0458333,0.22402954,3.7724762
252,1.05,0.114990234,1.6383667
253,1.0541667,0.15496826,1.6255951
254,1.0583333,0.28408813,-0.20335388
255,1.0625,0.24450684,-1.8594055
256,1.0666667,0.0819397,-2.7999878
257,1.0708333,0.011169434,-3.063507
258,1.075,0.289917,-2.7523956
259,1.0791667,0.2284851,-2.123886
260,1.0833334,-0.22296143,-0.6411438
261,1.0875,-0.33895874,1.3805084
262,1.0916667,-0.10925293,3.3127747
263,1.0958333,0.20874023,3.8726654
264,1.1,-0.06436157,3.2705078
265,1.1041666,0.25582886,-0.26245117
266,1.1083333,0.25933838,-0.2584381
267,1.1125,0.23120117,-0.25827026
268,1.1166667,0.2699585,-2.8016968
269,1.1208333,-0.01876831,-3.0561981
270,1.125,0.021514893,-2.893097
271,1.1291667,-0.019042969,-2.0360565
272,1.1333333,-0.1104126,-0.61021423
273,1.1375,-0.1661377,1.421402
274,1.1416667,-0.14761353,3.4213562
275,1.1458334,0.27972412,3.9143677
276,1.15,0.28625488,3.2359772
277,1.1541667,0.12512207,1.4211426
278,1.1583333,0.039978027,-0.34074402
279,1.1625,0.31427002,-1.9090424
280,1.1666666,0.023803711,-2.6736298
281,1.1708333,-0.0715332,-2.6980743
282,1.175,-0.053375244,-2.7769775
283,1.1791667,-0.020324707,-2.1033478
284,1.1833333,-0.023468018,-2.1074219
285,1.1875,-0.015197754,1.4388123
286,1.1916667,-0.021514893,3.3700562
287,1.1958333,-0.1222229,3.8413086
288,1.2,0.12799072,3.1481323
289,1.2041667,-0.031402588,1.2645721
290,1.2083334,0.035827637,-0.5132446
291,1.2125,-0.10189819,-1.9707947
292,1.2166667,-0.24505615,-2.7743835
293,1.2208333,-0.22906494,-2.9274597
294,1.225,-0.29684448,-2.8119354
295,1.2291666,0.08087158,-2.0445251
296,1.2333333,0.10986328,-2.046402
297,1.2375,-0.029907227,1.7420654
298,1.2416667,-0.21994019,3.3909302
299,1.2458333,-0.21087646,2.9765625
300,1.25,-0.1468811,2.9843445
301,1.2541667,-0.1144104,1.2645264
302,1.2583333,0.079559326,-0.5118408
303,1.2625,0.22671509,-1.9507904
304,1.2666667,0.22628784,-2.6901093
305,1.2708334,-0.07043457,-2.996109
306,1.275,-0.17370605,-2.7095947
307,1.2791667,-0.054870605,-1.963028
308,1.2833333,-0.17150879,-0.25517273
309,1.2875,7.324219E-4,1.7521362
310,1.2916666,0.13845825,3.5948944
311,1.2958333,0.07196045,3.8713837
312,1.3,0.062469482,1.2400055
313,1.3041667,0.036224365,1.2421875
314,1.3083333,0.12484741,-0.5373688
315,1.3125,0.08380127,-2.0269928
316,1.3166667,0.036895752,-2.8231506
317,1.3208333,-0.10473633,-2.995575
318,1.325,0.11703491,-2.7947388
319,1.3291667,0.025360107,-1.964325
320,1.3333334,-0.006225586,-0.22819519
321,1.3375,-0.01159668,1.8394165
322,1.3416667,-0.20489502,3.522766
323,1.3458333,0.067230225,3.812088
324,1.35,0.11151123,1.0805206
325,1.3541666,0.059814453,1.0890656
326,1.3583333,-0.021362305,-2.0767212
327,1.3625,0.13180542,-2.039978
328,1.3666667,-0.04953003,-2.7437286
329,1.3708333,-0.21511841,-2.6925812
330,1.375,-0.21212769,-2.6950226
331,1.3791667,-0.40307617,-1.8963623
332,1.3833333,-0.24194336,-0.096221924
333,1.3875,-0.2772522,1.911789
334,1.3916667,-0.06011963,3.6762085
335,1.3958334,0.11880493,3.8564148
336,1.4,-0.09765625,2.8829193
337,1.4041667,0.28015137,1.0762177
338,1.4083333,0.14962769,-0.7391968
339,1.4125,-0.034210205,-2.075714
340,1.4166666,-0.025512695,-2.7841034
341,1.4208333,-0.22573853,-2.9470062
342,1.425,-0.09033203,-1.6913757
343,1.4291667,-0.23898315,-1.669693
344,1.4333333,-0.08401489,-0.008377075
345,1.4375,0.11129761,3.6660156
346,1.4416667,-0.032714844,3.672058
347,1.4458333,0.10723877,3.746811
348,1.45,0.23757935,2.827652
349,1.4541667,0.34005737,0.9703827
350,1.4583334,0.3196411,-0.7681122
351,1.4625,0.052490234,-2.1698914
352,1.4666667,0.27764893,-2.7705994
353,1.4708333,0.29821777,-2.9028778
354,1.475,-0.14151001,-2.629959
355,1.4791666,-0.055847168,-1.7101898
356,1.4833333,-0.112457275,0.12130737
357,1.4875,-0.054138184,0.13749695
358,1.4916667,-0.26150513,3.7661743
359,1.4958333,-0.23529053,3.7828522
360,1.5,-0.030151367,2.617813
361,1.5041667,-0.03152466,0.7758026
362,1.5083333,0.093048096,-0.90782166
363,1.5125,0.23339844,-2.2234955
364,1.5166667,0.05706787,-2.8160706
365,1.5208334,-0.1986084,-2.872696
366,1.525,-0.1409607,-2.6539307
367,1.5291667,-0.117248535,-1.6616516
368,1.5333333,-0.26187134,0.19424438
369,1.5375,-0.22686768,2.1784363
370,1.5416666,0.07220459,3.6735535
371,1.5458333,0.09030151,3.6630554
372,1.55,-0.0925293,3.6690521
373,1.5541667,-0.21377563,0.674942
374,1.5583333,-0.18661499,0.70884705
375,1.5625,-0.020233154,-2.2791748
376,1.5666667,0.048919678,-2.291626
377,1.5708333,-0.015289307,-2.952652
378,1.575,-0.2104187,-2.7170258
379,1.5791667,-0.015167236,-1.5612183
380,1.5833334,-0.04498291,0.25660706
381,1.5875,-0.32556152,2.2858734
382,1.5916667,-0.0099487305,3.7572174
383,1.5958333,0.08050537,3.7122955
384,1.6,0.14758301,2.4827576
385,1.6041666,0.14648438,0.60647583
386,1.6083333,0.286438,-0.9490204
387,1.6125,0.02633667,-2.3041382
388,1.6166667,0.14007568,-2.9315948
389,1.6208333,0.15927124,-2.9039154
