# FPS: 240.0
Frame,Time(s),DisplacementX(px),DisplacementZ(px)
0,0.0,-0.262146,-0.47554016
1,0.004166667,-0.054260254,-1.0673676
2,0.008333334,0.022155762,-1.0760651
3,0.0125,0.3001709,-1.0059509
4,0.016666668,0.5639038,-0.75379944
5,0.020833334,-0.36694336,0.39837646
6,0.025,-0.37304688,0.41970825
7,0.029166667,-0.14428711,1.0978699
8,0.033333335,-0.2720337,1.0401154
9,0.0375,-0.44003296,0.799057
10,0.041666668,-0.44961548,0.7826996
11,0.045833334,-0.5270386,0.2510376
12,0.05,-0.42333984,-0.5146637
13,0.054166667,-0.16271973,-1.062088
14,0.058333334,-0.026916504,-1.063385
15,0.0625,-0.10882568,-1.0186005
16,0.06666667,0.21038818,-0.7109833
17,0.07083333,0.113098145,-0.20684814
18,0.075,-0.018432617,0.4462738
19,0.079166666,0.0037231445,0.9196472
20,0.083333336,-0.08337402,1.1398773
21,0.0875,-0.22845459,1.0363007
22,0.09166667,-0.5380249,0.21394348
23,0.09583333,-0.5470581,0.2110138
24,0.1,0.19311523,-1.0733643
25,0.104166664,0.23712158,-1.0770721
26,0.108333334,0.22888184,-1.1201324
27,0.1125,0.30578613,-1.0175018
28,0.11666667,0.27093506,-0.6950836
29,0.12083333,0.10626221,-0.32673645
30,0.125,0.11230469,0.35787964
31,0.12916666,0.19927979,0.92793274
32,0.13333334,0.020629883,1.1166992
33,0.1375,-0.03869629,1.0482635
34,0.14166667,-0.31866455,0.7424927
35,0.14583333,-0.22576904,0.22418213
36,0.15,-0.025146484,-0.45359802
37,0.15416667,0.35290527,-1.1796112
38,0.15833333,0.41461182,-1.1490936
39,0.1625,0.35821533,-0.97976685
40,0.16666667,-0.016662598,-0.29206848
41,0.17083333,-0.020324707,-0.30508423
42,0.175,0.49829102,0.43818665
43,0.17916666,0.31774902,0.9864807
44,0.18333334,0.012939453,1.180603
45,0.1875,-0.2121582,1.07901
46,0.19166666,-0.36108398,0.67492676
47,0.19583334,-0.14276123,0.15808105
48,0.2,-0.14160156,-0.45022583
49,0.20416667,0.1338501,-0.9854126
50,0.20833333,0.17047119,-1.1021118
51,0.2125,0.36914062,-1.0019226
52,0.21666667,0.5302124,-0.6032715
53,0.22083333,0.5602417,0.3070221
54,0.225,0.60302734,0.32785034
55,0.22916667,0.0960083,0.9488678
56,0.23333333,0.20874023,1.2610168
57,0.2375,-0.0068359375,1.2063904
58,0.24166666,-0.47601318,0.72906494
59,0.24583334,0.030151367,0.16648865
60,0.25,0.032714844,-0.41374207
61,0.25416666,-0.091674805,-1.1049347
62,0.25833333,0.35882568,-1.1505737
63,0.2625,0.39770508,-1.0166168
64,0.26666668,0.39996338,-0.6526642
65,0.27083334,0.50219727,-0.24142456
66,0.275,-0.09106445,0.9633026
67,0.27916667,-0.2553711,0.8787079
68,0.28333333,-0.12365723,1.0042114
69,0.2875,-0.06298828,1.0915833
70,0.29166666,-0.09088135,0.1522522
71,0.29583332,-0.15270996,0.11714172
72,0.3,-0.20220947,-0.42964172
73,0.30416667,0.046813965,-0.9731903
74,0.30833334,0.26953125,-1.1371613
75,0.3125,0.19628906,-1.0790253
76,0.31666666,0.3083496,-0.6335144
77,0.32083333,0.4022827,-0.18151855
78,0.325,0.20324707,0.33581543
79,0.32916668,0.15185547,0.91604614
80,0.33333334,-0.17584229,1.1975555
81,0.3375,-0.17163086,1.1285706
82,0.34166667,0.0038452148,0.02267456
83,0.34583333,-0.07489014,0.017578125
84,0.35,0.033935547,-1.0420227
85,0.35416666,0.019897461,-1.0482788
86,0.35833332,0.25372314,-1.1956024
87,0.3625,0.3873291,-1.0489502
88,0.36666667,0.4194336,-0.6270447
89,0.37083334,0.36016846,-0.10748291
90,0.375,0.23370361,0.46984863
91,0.37916666,0.22955322,0.9837036
92,0.38333333,0.2409668,1.2045288
93,0.3875,-0.11114502,1.110321
94,0.39166668,-0.26983643,0.6488037
95,0.39583334,0.039855957,0.083740234
96,0.4,-0.16381836,-0.43084717
97,0.40416667,0.07116699,-1.3226013
98,0.40833333,-0.058044434,-1.3045044
