# FPS: 240.0
Frame,Time(s),DisplacementX(px),DisplacementZ(px)
154,0.64166665,-0.16912842,0.7404785
155,0.6458333,-0.2800598,-0.049865723
156,0.65,-0.016601562,-0.719574
157,0.65416664,0.046905518,-1.0841522
158,0.65833336,0.07104492,-1.069809
159,0.6625,0.14682007,-1.0474548
160,0.6666667,-0.00869751,-0.010864258
161,0.67083335,-0.038604736,-0.010864258
162,0.675,0.075286865,0.63671875
163,0.6791667,0.17034912,0.99064636
164,0.68333334,0.17105103,1.144577
165,0.6875,0.07974243,1.1602631
166,0.69166666,-0.27243042,-0.13157654
167,0.6958333,-0.18023682,-0.14485168
168,0.7,-0.23461914,-0.70755005
169,0.70416665,-0.037322998,-1.0017242
170,0.7083333,0.15621948,-1.0587616
171,0.7125,0.25976562,-1.0278778
172,0.71666664,-0.21612549,-0.6001282
173,0.72083336,-0.23547363,-0.10797119
174,0.725,0.0809021,0.94036865
175,0.7291667,0.06854248,0.9478302
176,0.73333335,0.07815552,1.0323639
177,0.7375,-0.49578857,0.7077637
178,0.7416667,-0.5188904,0.7072296
179,0.74583334,-0.25613403,-0.09277344
180,0.75,-0.1333313,-0.6598053
181,0.75416666,-0.06594849,-1.0846405
182,0.7583333,0.14620972,-1.0986633
183,0.7625,0.08999634,-1.0549164
184,0.76666665,0.14285278,-0.57899475
185,0.7708333,-0.13980103,0.018463135
186,0.775,-0.05984497,0.6572418
187,0.77916664,0.090148926,0.96702576
188,0.78333336,0.10247803,1.0644989
189,0.7875,-0.05392456,1.1186523
190,0.7916667,0.030670166,1.1042328
191,0.79583335,-0.22506714,-0.10441589
192,0.8,-0.15838623,-0.07337952
193,0.8041667,-0.0463562,-1.0236206
194,0.80833334,-0.06729126,-1.0705109
195,0.8125,0.054901123,-1.065979
196,0.81666666,0.08502197,-0.5981903
197,0.8208333,0.011474609,-0.1315155
198,0.825,0.028808594,0.69493103
199,0.82916665,-0.16946411,1.0400696
200,0.8333333,0.02142334,1.0873108
201,0.8375,-0.22747803,1.1272278
202,0.84166664,-0.4154358,0.6681671
203,0.84583336,-0.44482422,-0.15071106
204,0.85,-0.15255737,-0.7482605
205,0.8541667,0.070739746,-1.0986328
206,0.85833335,0.20877075,-1.0539398
207,0.8625,0.4187317,-0.9301605
208,0.8666667,-0.22055054,-0.6010742
209,0.87083334,-0.11029053,-0.003692627
210,0.875,-0.07852173,0.74983215
211,0.87916666,0.16397095,0.98942566
212,0.8833333,0.12792969,1.0272827
213,0.8875,0.0491333,1.0798492
214,0.89166665,-0.19329834,0.7670746
215,0.8958333,-0.044006348,-0.013076782
216,0.9,0.25323486,-0.73861694
217,0.90416664,0.20339966,-1.0810852
218,0.90833336,0.12399292,-1.080246
219,0.9125,0.22619629,-0.59954834
220,0.9166667,0.14379883,-0.580307
221,0.92083335,0.0132751465,-6.2561035E-4
222,0.925,0.18148804,1.0432587
223,0.9291667,0.19436646,1.0426941
224,0.93333334,0.10076904,1.1187592
225,0.9375,0.034332275,0.70903015
226,0.94166666,0.118896484,0.71832275
227,0.9458333,0.056549072,0.022079468
228,0.95,-0.06964111,-0.71746826
229,0.95416665,-0.1993103,-1.137558
230,0.9583333,0.05227661,-1.0735474
231,0.9625,0.33486938,-0.9455261
232,0.96666664,0.0041503906,-0.592926
233,0.97083336,-0.20648193,-0.09490967
234,0.975,-0.3373108,0.6327057
235,0.9791667,0.040130615,1.0161133
236,0.98333335,0.2857666,1.0069275
237,0.9875,-0.3123474,0.66841125
238,0.9916667,-0.29016113,0.6685333
239,0.99583334,-0.065704346,-0.8348236
240,1.0,0.043182373,-0.8999939
241,1.0041667,-0.12945557,-1.1205597
242,1.0083333,-0.04260254,-1.0675659
243,1.0125,-0.0368042,-0.9564667
244,1.0166667,0.120147705,-0.5948181
245,1.0208334,-0.05065918,-0.017807007
246,1.025,-0.27282715,0.6747894
247,1.0291667,0.10873413,1.026474
248,1.0333333,0.07409668,1.1235657
249,1.0375,-0.21569824,1.0020905
250,1.0416666,-0.29031372,0.61221313
251,1.0458333,-0.3232727,-0.16116333
252,1.05,-0.1373291,-1.093811
253,1.0541667,-0.1517334,-1.1127472
254,1.0583333,-0.12902832,-0.9615631
255,1.0625,0.04486084,-0.94096375
256,1.0666667,-0.04953003,-0.5183716
257,1.0708333,-0.2539978,-0.07232666
258,1.075,-0.20858765,0.7115631
259,1.0791667,-0.08425903,1.1043854
260,1.0833334,-0.032958984,1.1025238
261,1.0875,-0.21643066,1.1071777
262,1.0916667,-0.28933716,0.6562195
263,1.0958333,-0.10903931,-0.065338135
264,1.1,-0.09295654,-0.76408386
265,1.1041666,-0.033935547,-1.1442261
266,1.1083333,0.06427002,-1.1279755
267,1.1125,0.20239258,-0.9569702
268,1.1166667,0.20150757,-0.94996643
269,1.1208333,0.01864624,0.018310547
270,1.125,0.08596802,0.7087097
271,1.1291667,0.07763672,1.0645294
272,1.1333333,0.053253174,1.10289
273,1.1375,-0.03967285,1.0496521
274,1.1416667,-0.19772339,0.6347351
275,1.1458334,-0.25634766,0.0072021484
276,1.15,-0.03100586,-0.63217163
277,1.1541667,-0.13253784,-1.0774841
278,1.1583333,0.07791138,-1.0302887
279,1.1625,0.14968872,-0.8969116
280,1.1666666,0.38549805,-0.5384979
281,1.1708333,0.1484375,-0.52256775
282,1.175,-0.0977478,0.8224182
283,1.1791667,-0.034362793,1.1118164
284,1.1833333,0.03878784,1.1287994
285,1.1875,0.021942139,1.1131439
286,1.1916667,-0.01083374,0.7368469
287,1.1958333,-0.41152954,-0.08668518
288,1.2,-0.23297119,-0.63671875
289,1.2041667,-0.04034424,-1.0834808
290,1.2083334,0.07501221,-1.0618744
291,1.2125,0.19638062,-0.9100647
292,1.2166667,-0.027496338,-0.49189758
293,1.2208333,-0.06744385,-0.036956787
294,1.225,-0.115600586,0.6992798
295,1.2291666,0.14520264,1.1558228
296,1.2333333,0.15145874,1.1734009
297,1.2375,0.056549072,1.1950836
298,1.2416667,-0.3093872,0.772995
299,1.2458333,-0.14126587,-0.11050415
300,1.25,0.14874268,-0.7234192
301,1.2541667,0.08306885,-1.0499115
302,1.2583333,0.15020752,-1.0222015
303,1.2625,0.29663086,-0.8706665
304,1.2666667,0.55703735,-0.5427551
305,1.2708334,0.017211914,-0.034469604
306,1.275,2.746582E-4,0.7362366
307,1.2791667,-0.061065674,1.060669
308,1.2833333,-0.009216309,1.0480499
309,1.2875,-0.081604004,1.0449677
310,1.2916666,-0.34921265,0.651947
311,1.2958333,0.07028198,-0.76597595
312,1.3,0.044006348,-0.7803345
313,1.3041667,0.08236694,-1.0359802
314,1.3083333,0.09509277,-1.0409393
315,1.3125,0.42230225,-0.93388367
316,1.3166667,0.3661499,-0.5110779
317,1.3208333,-0.09640503,-0.061843872
318,1.325,0.087371826,0.6912689
319,1.3291667,0.12237549,1.0803375
320,1.3333334,-0.026275635,1.0242157
321,1.3375,0.09112549,0.98098755
322,1.3416667,-0.11029053,0.6602936
323,1.3458333,-0.3003235,-0.13819885
324,1.35,0.12438965,-0.7457123
325,1.3541666,-0.011810303,-1.0928497
326,1.3583333,0.07147217,-0.96235657
327,1.3625,0.07952881,-0.97084045
328,1.3666667,-0.2098999,0.028289795
329,1.3708333,-0.2602539,0.044143677
330,1.375,-0.18649292,0.76213074
331,1.3791667,-0.12487793,1.0198822
332,1.3833333,-0.1593628,1.1584625
333,1.3875,-0.23617554,1.1049957
334,1.3916667,-0.15097046,0.5894623
335,1.3958334,-0.32574463,-0.14393616
336,1.4,0.1678772,-0.7667694
337,1.4041667,0.13775635,-1.1048431
338,1.4083333,0.0874939,-1.1774445
339,1.4125,0.24295044,-0.9116821
340,1.4166666,0.07345581,-0.5090027
341,1.4208333,-0.2649536,0.07397461
342,1.425,-0.41671753,0.04032898
343,1.4291667,-0.011932373,1.1671448
344,1.4333333,-0.007446289,1.1649475
345,1.4375,-0.04675293,0.9640045
346,1.4416667,-0.072631836,0.6411743
347,1.4458333,-0.28851318,-0.094558716
348,1.45,-0.15612793,-0.7509155
349,1.4541667,-0.016235352,-1.1336823
350,1.4583334,0.1335144,-1.1679535
351,1.4625,0.41116333,-0.8326874
352,1.4666667,0.33547974,-0.46875
353,1.4708333,0.13717651,0.03804016
354,1.475,0.080718994,0.7463379
355,1.4791666,0.04940796,1.1132355
356,1.4833333,0.04748535,1.1213531
357,1.4875,-0.033721924,0.9513397
358,1.4916667,-0.20709229,0.46295166
359,1.4958333,-0.3139038,0.44421387
360,1.5,-0.31433105,0.44508362
361,1.5041667,0.08984375,-1.0943756
362,1.5083333,0.04348755,-1.1447449
363,1.5125,0.07821655,-0.8117218
364,1.5166667,0.27896118,-0.48390198
365,1.5208334,0.18774414,0.03199768
366,1.525,0.1795044,-0.017486572
367,1.5291667,-9.765625E-4,1.1599731
368,1.5333333,-0.06137085,1.1571198
369,1.5375,-0.056671143,1.070343
370,1.5416666,-0.37435913,0.5989075
371,1.5458333,-0.20605469,-0.122039795
372,1.55,0.13244629,-0.7479706
373,1.5541667,-0.12890625,-1.0973816
374,1.5583333,0.06259155,-1.0531158
375,1.5625,0.14422607,-0.8115692
376,1.5666667,0.23876953,-0.5019684
377,1.5708333,0.34353638,-0.49630737
378,1.575,0.054626465,0.80085754
379,1.5791667,0.23376465,1.1688385
380,1.5833334,-0.13323975,1.241745
381,1.5875,-0.11160278,1.0157318
382,1.5916667,-0.125,0.6555481
383,1.5958333,-0.21105957,-0.07432556
384,1.6,0.08984375,-0.69169617
385,1.6041666,0.16693115,-1.0755157
386,1.6083333,0.012176514,-1.1306763
387,1.6125,0.04107666,-1.1710358
388,1.6166667,0.3595581,-0.42759705
389,1.6208333,0.36239624,-0.43814087
390,1.625,-0.066833496,0.74887085
391,1.6291667,0.12225342,1.1956635
392,1.6333333,0.16152954,1.1900024
393,1.6375,0.019134521,0.9843292
394,1.6416667,0.06677246,0.47665405
395,1.6458334,-0.034820557,-0.12045288
396,1.65,0.07086182,-0.72813416
397,1.6541667,0.21228027,-1.101654
398,1.6583333,0.23852539,-1.1465912
399,1.6625,0.2554016,-0.8027649
400,1.6666666,0.2735901,-0.44387817
401,1.6708333,0.050323486,0.10525513
402,1.675,0.121795654,0.7064667
403,1.6791667,0.22521973,1.0909729
404,1.6833333,-0.05227661,1.2203064
405,1.6875,-0.09933472,0.53656006
406,1.6916667,-0.0743103,0.53248596
407,1.6958333,-0.165802,-0.7249603
408,1.7,-0.1355896,-0.70002747
409,1.7041667,-0.07800293,-1.0437775
410,1.7083334,0.057891846,-1.1099701
411,1.7125,0.28674316,-0.81721497
412,1.7166667,0.09039307,-0.418396
413,1.7208333,0.016571045,0.0962677
414,1.725,-0.20742798,0.7259369
415,1.7291666,-0.0680542,1.0772095
416,1.7333333,0.062164307,1.2031708
417,1.7375,-0.26763916,0.9593811
418,1.7416667,-0.11740112,0.49388123
419,1.7458333,-0.08279419,-0.0038146973
420,1.75,-0.09161377,-0.008834839
421,1.7541667,0.19876099,-1.1618805
422,1.7583333,-0.018615723,-1.2134247
423,1.7625,0.38510132,-0.9043579
424,1.7666667,0.27822876,-0.2747345
425,1.7708334,0.08639526,0.19744873
426,1.775,-0.026184082,0.7123413
427,1.7791667,0.108428955,1.1530151
